Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2016-12-16,119.13555908203125,120.75556934013281,118.53922921670134,120.15924705745212,25324300
2016-12-19,118.50941467285156,119.62255516519764,117.78389162744548,119.11567781087541,15918100
2016-12-20,118.3603515625,119.03618561790508,118.07213501742548,118.76784319976137,13684400
2016-12-21,118.31065368652344,118.46966943813769,117.75408718189867,118.19138618582531,10767600
2016-12-22,116.68070220947266,118.26095678191125,116.21358064424115,118.13175601004612,16258600
2016-12-23,116.5514907836914,116.83971488193389,115.5874402818248,116.28314839299651,10890000
2016-12-27,117.28695678710938,117.9528498882536,116.14400130173311,116.24338708684206,12051500
2016-12-28,116.2036361694336,117.5254891569545,115.93529378002881,117.46585919989782,12087400
2016-12-29,115.63712310791016,116.80989356211289,115.34889902531421,116.28314208044247,9934900
2016-12-30,114.3450927734375,116.11418551708343,114.06680196135841,115.88559138853793,18684100
2017-01-03,116.14400482177734,117.11799616107344,114.80227772551869,115.3190883733381,20663900
2017-01-04,117.96279907226562,118.92685717946925,116.57137523452792,116.8297843601799,19630900
2017-01-05,119.9306640625,120.20894731473598,117.59506381534813,118.13175619436748,19492200
2017-01-06,122.65388488769531,123.1209988827986,119.29458890265178,120.2387729124608,28545300
2017-01-09,124.13475036621094,124.66150189029945,122.28614581355886,122.79302321222796,22880400
2017-01-10,123.58811950683594,124.73107509796884,123.51854869255742,124.0552410809846,17324600
2017-01-11,125.31745910644531,125.34728166972019,123.29989786924014,123.58812198636234,18356500
2017-01-12,125.84420776367188,125.95353440529988,124.0353591239852,124.84039386447363,18653900
2017-01-13,127.55365753173828,128.47796731023993,126.58960708850768,126.70886699594072,24884300
2017-01-17,127.08655548095703,127.55366946652492,126.61943391273917,127.25550450474545,15294500
2017-01-18,127.13623809814453,127.64310789159315,126.06285338969529,127.62324134970828,13145900
2017-01-19,126.76851654052734,127.56361805109398,126.66912316471904,127.44434296706403,12195500
2017-01-20,126.2616195678711,127.69279144935453,126.00321047959194,127.315130043479,19097200
2017-01-23,128.14004516601562,128.45809182162944,126.17218077162765,126.52997567654357,16593600
2017-01-24,128.57736206054688,129.10411360657247,127.5934373669861,128.58731049764577,15162700
2017-01-25,130.67442321777344,130.93283991429087,128.97490880979683,129.20349536300148,18731300
2017-01-26,131.96646118164062,132.32425608304212,130.63467494626258,130.823513250516,20020100
2017-01-27,131.37014770507812,132.13543428861468,130.27689632246975,131.86708428770947,19539500
2017-01-30,130.177490234375,130.77382014145064,128.80595571258024,130.77382014145064,18956100
2017-01-31,129.5215606689453,129.85947391196535,128.7264590883737,129.37247059210617,19790500
2017-02-01,132.41372680664062,132.6721435534439,129.87934702521304,131.43973528296448,50139800
2017-02-02,130.03834533691406,134.6598640871263,129.60103877144377,132.40376803270397,54366400
2017-02-03,130.177490234375,132.03604318442436,129.9588369461339,130.4359069379142,24804900
2017-02-06,131.25086975097656,131.25086975097656,129.50165867987485,130.17748506008496,17058500
2017-02-07,131.0322265625,132.1851230043149,130.8533366828908,131.42978490379826,14596400
2017-02-08,133.37774658203125,133.61628154904676,131.62853565314379,131.78755896448746,22390600
2017-02-09,133.3181610107422,133.67595599771994,132.4932443695073,133.66602272444098,16470600
2017-02-10,133.36781311035156,134.11321782018783,132.8609282018724,133.27836818484263,15061900
2017-02-13,133.2286834716797,133.8746948787798,132.88082184305716,133.8746948787798,13526200
2017-02-14,133.02992248535156,133.40758395658065,131.73788440301993,133.27839076405763,14364900
2017-02-15,132.62240600585938,132.88080750776305,131.847186334851,132.63233927563735,13226500
2017-02-16,133.01995849609375,133.04977347282858,132.20499052317768,132.25468720616854,12831100
2017-02-17,132.71188354492188,133.26845009521722,132.35408859611758,132.68206856296328,12276500
2017-02-21,132.9007110595703,133.0895493734757,132.08572784488385,132.6820577661325,14759100
2017-02-22,135.28599548339844,135.951888610854,132.64230468097315,132.78144630215343,27360100
2017-02-23,134.53065490722656,135.28599295590794,133.50696689224694,135.05740640366076,18422500
2017-02-24,134.6101531982422,134.7890430478046,133.3379970503622,133.3379970503622,12625700
2017-02-27,135.57423400878906,136.33950538127817,134.19275099826837,134.43127083788053,14306700
2017-02-28,134.70956420898438,135.97178739447324,133.92441106914086,135.95190568457937,16112100
2017-03-01,136.5780487060547,136.63767866959017,135.4649156125895,135.6338722310404,16257000
2017-03-02,135.9220733642578,136.9755915400293,135.47483352315348,136.25005329181414,12294800
2017-03-03,136.32955932617188,136.4885826478685,135.24624138204865,135.7928745720691,11160600
2017-03-06,136.5780487060547,136.98554034394854,135.67362048496372,136.04136386893427,12748200
2017-03-07,136.45877075195312,137.52220701355202,136.15067253752073,136.19042078619307,13527100
2017-03-08,136.87619018554688,137.1445401406783,136.21029709824168,136.30967529863594,10184500
2017-03-09,137.3930206298828,137.72100056753,136.5581557134628,136.87620237977512,15535300
2017-03-10,137.93963623046875,138.6353595092768,137.3731364685044,138.05891131085556,16314100
2017-03-13,138.74465942382812,138.82415590837158,137.82034976407257,137.86011317164085,10955500
2017-03-14,138.46641540527344,138.60555704053357,137.67131384722947,138.60555704053357,12944000
2017-03-15,138.8639373779297,139.24161397246985,137.64147782888986,138.43656410011343,19344800
2017-03-16,139.13230895996094,139.3907105217407,138.8738922328803,139.3410138307405,13612900
2017-03-17,138.98318481445312,139.4801212720265,138.84404321294446,139.4801212720265,20592800
2017-03-20,139.0825958251953,139.33106408551893,138.39682100025428,138.85400927198134,12099500
2017-03-21,137.66134643554688,141.43806694172198,137.55201979681843,140.28517059973086,29894800
2017-03-22,138.73475646972656,138.9335280768402,136.75695850578887,137.0849233166105,17055400
2017-03-23,138.67510986328125,139.52984132007452,138.23780328092658,138.625413176141,13022800
2017-03-24,139.4801483154297,140.15598991472098,138.903700093043,139.22174676689778,16664700
2017-03-27,139.46026611328125,139.78823085658146,137.91975993603253,138.19804316175896,12800500
2017-03-28,140.8914337158203,141.08027201588064,139.152155932547,139.50001755532116,14679400
2017-03-29,141.77597045898438,141.984690451521,140.56344424498505,141.12002583665011,16527600
2017-03-30,141.5374755859375,142.07416040152063,140.98090906154005,141.52752714888015,12404000
2017-03-31,141.17967224121094,141.75612044007346,141.0206489107731,141.4380737791978,11478300
2017-04-03,141.40826416015625,141.5971024765462,139.95721791948606,141.06040250730103,13564000
2017-04-04,140.8616180419922,141.21941293367982,140.40444494807383,140.99082638672064,12948600
2017-04-05,140.98089599609375,142.56115048112176,140.4243143579773,141.3883724145715,17158100
2017-04-06,140.30502319335938,141.34859268008324,140.04662172148213,141.2392660640399,15103400
2017-04-07,139.91744995117188,140.68273646337838,139.38076516468524,140.33487482183918,11818300
2017-04-10,140.17584228515625,140.56345215141425,139.76836587776606,140.13609403759327,9039400
2017-04-11,139.0626983642578,140.1658979217298,137.95949880678583,139.93731139441144,16638100
2017-04-12,138.72479248046875,139.53976043877304,138.5856508697681,138.8639340911694,11612500
2017-04-13,138.53598022460938,139.7186917204969,138.47635026100178,138.76456680687218,10965600
2017-04-17,140.55352783203125,140.68273618411212,138.89376162387526,138.90369489507398,11519700
2017-04-18,140.0963592529297,141.0405356675938,139.74849760080608,140.4044574883706,14807500
2017-04-19,141.39833068847656,142.16360205919477,140.40445758492564,140.4839692530457,15563900
2017-04-20,142.91896057128906,143.36620045124843,141.81576077922895,142.07416233613202,15968200
2017-04-21,142.79966735839844,143.28667059471897,141.39831793442065,143.01832063468123,12382000
2017-04-24,144.57872009277344,144.7774916783696,143.45563864447024,144.07185027470823,14407200
2017-04-25,145.59246826171875,146.24841294777448,144.8967449958761,144.8967449958761,17767500
2017-04-26,145.66201782226562,146.6857057524382,145.19489632030752,146.1887692750613,12395000
2017-04-27,146.7950439453125,146.84474063002375,145.2446044402352,145.77135593451663,11275100
2017-04-28,149.3294219970703,150.6015782557682,148.15665910698584,148.58401722836615,30652200
2017-05-01,151.52590942382812,151.63523607860114,150.4922728395559,150.8103195317323,25218300
2017-05-02,151.8439483642578,152.4999083249221,150.73081521789544,152.400514937439,21870400
2017-05-03,150.86993408203125,152.65890862950582,150.41274580006018,152.65890862950582,29782500
2017-05-04,149.92576599121094,150.5916591607671,147.8088113959188,149.24992438467766,36225500
2017-05-05,149.31948852539062,150.7009714215847,148.8722335325309,150.52206639138106,17148500
2017-05-08,150.1344451904297,150.15432689568522,148.8225407842206,149.78659875759513,15827500
2017-05-09,149.5580291748047,151.6551021532834,149.28969434007539,150.56185077423962,17453900
2017-05-10,149.3691864013672,149.59778814084427,147.94795510132514,149.309556439869,12080700
2017-05-11,149.1206817626953,149.72694483228778,148.49455215431388,149.3890316893141,11841900
2017-05-12,149.408935546875,149.5381438946454,148.71322745368636,149.47849877354435,9598200
2017-05-15,149.26979064941406,150.55188016689254,148.85236580266994,149.2499089428171,15064700
2017-05-16,148.8623046875,149.2896779863099,148.11689989763792,149.19028461487522,14550800
